Source,Target,Weight,Label
over,the,118,SUPPORTS
over,than,14,SUPPORTS
over,from,21,SUPPORTS
over,level,12,SUPPORTS
over,to,70,SUPPORTS
over,sea,15,SUPPORTS
over,more,10,SUPPORTS
over,and,74,SUPPORTS
over,as,18,SUPPORTS
over,ice,14,SUPPORTS
over,with,29,SUPPORTS
over,by,24,SUPPORTS
over,of,106,SUPPORTS
over,has,31,SUPPORTS
over,a,43,SUPPORTS
over,carbon,8,REFUTES
over,in,23,REFUTES
over,is,11,REFUTES
over,for,8,REFUTES
over,warming,16,REFUTES
over,The,9,REFUTES
over,that,18,REFUTES
over,gases,14,SUPPORTS
over,been,11,SUPPORTS
over,have,18,SUPPORTS
over,greenhouse,15,SUPPORTS
over,increased,11,SUPPORTS
over,surface,18,SUPPORTS
over,average,11,SUPPORTS
over,global,31,SUPPORTS
over,are,28,SUPPORTS
over,on,12,SUPPORTS
over,at,5,SUPPORTS
over,emissions,6,REFUTES
over,human,7,REFUTES
over,climate,10,REFUTES
over,such,9,SUPPORTS
over,temperature,9,REFUTES
the,or,44,REFUTES
the,and,304,REFUTES
the,as,103,REFUTES
the,of,421,REFUTES
the,to,292,REFUTES
the,such,41,REFUTES
the,by,151,REFUTES
the,global,155,REFUTES
the,greenhouse,115,REFUTES
the,from,81,REFUTES
the,The,93,REFUTES
the,is,189,REFUTES
the,that,214,REFUTES
the,for,64,REFUTES
the,in,733,SUPPORTS
the,have,213,SUPPORTS
the,are,211,SUPPORTS
the,CO,75,SUPPORTS
the,gases,71,SUPPORTS
the,has,181,SUPPORTS
the,2,91,SUPPORTS
the,other,75,SUPPORTS
the,carbon,115,SUPPORTS
the,a,457,SUPPORTS
the,increased,110,SUPPORTS
the,emissions,68,REFUTES
the,human,61,REFUTES
the,than,55,REFUTES
the,more,48,REFUTES
the,warming,90,REFUTES
the,on,109,REFUTES
the,climate,104,REFUTES
the,an,70,REFUTES
the,be,135,SUPPORTS
the,level,93,SUPPORTS
the,sea,182,SUPPORTS
the,ice,161,SUPPORTS
the,with,191,SUPPORTS
the,which,44,REFUTES
the,at,125,SUPPORTS
the,average,70,SUPPORTS
the,been,101,SUPPORTS
the,changes,73,SUPPORTS
the,since,108,SUPPORTS
the,evidence,49,SUPPORTS
the,temperature,167,SUPPORTS
the,surface,102,SUPPORTS
the,rise,102,SUPPORTS
which,to,34,REFUTES
which,and,31,REFUTES
which,The,9,REFUTES
which,carbon,6,REFUTES
which,in,24,REFUTES
which,have,10,REFUTES
which,of,36,REFUTES
which,global,18,REFUTES
which,warming,5,REFUTES
which,that,14,REFUTES
which,from,26,SUPPORTS
which,as,32,SUPPORTS
which,with,19,SUPPORTS
which,by,36,SUPPORTS
which,at,19,SUPPORTS
which,a,75,SUPPORTS
which,is,85,SUPPORTS
which,for,22,SUPPORTS
which,climate,29,SUPPORTS
which,ice,28,SUPPORTS
which,such,8,SUPPORTS
which,surface,11,SUPPORTS
which,an,16,SUPPORTS
which,temperature,33,SUPPORTS
which,are,12,REFUTES
which,has,5,REFUTES
which,greenhouse,5,REFUTES
which,evidence,9,SUPPORTS
which,on,9,REFUTES
which,sea,9,REFUTES
which,more,11,SUPPORTS
which,been,13,SUPPORTS
which,other,14,SUPPORTS
which,2,7,REFUTES
which,emissions,6,SUPPORTS
which,rise,5,REFUTES
which,CO,8,SUPPORTS
which,since,6,SUPPORTS
human,from,5,REFUTES
human,other,9,REFUTES
human,is,46,REFUTES
human,to,42,REFUTES
human,and,52,REFUTES
human,The,15,REFUTES
human,gases,19,REFUTES
human,carbon,5,REFUTES
human,in,43,REFUTES
human,of,59,REFUTES
human,greenhouse,23,REFUTES
human,on,25,SUPPORTS
human,that,81,SUPPORTS
human,changes,22,SUPPORTS
human,by,32,SUPPORTS
human,climate,35,SUPPORTS
human,a,42,SUPPORTS
human,are,30,SUPPORTS
human,since,15,SUPPORTS
human,have,17,SUPPORTS
human,evidence,21,SUPPORTS
human,increased,9,SUPPORTS
human,global,30,SUPPORTS
human,or,17,SUPPORTS
human,be,19,SUPPORTS
human,temperature,8,SUPPORTS
human,emissions,8,SUPPORTS
human,such,8,REFUTES
human,as,18,REFUTES
human,with,15,SUPPORTS
human,rise,9,SUPPORTS
human,for,19,SUPPORTS
human,warming,24,REFUTES
human,been,12,REFUTES
human,has,10,REFUTES
human,CO,8,SUPPORTS
human,2,7,SUPPORTS
than,more,29,REFUTES
than,as,10,REFUTES
than,of,41,REFUTES
than,a,19,REFUTES
than,warming,9,REFUTES
than,that,29,REFUTES
than,from,27,SUPPORTS
than,level,17,SUPPORTS
than,to,75,SUPPORTS
than,sea,22,SUPPORTS
than,and,66,SUPPORTS
than,ice,22,SUPPORTS
than,with,24,SUPPORTS
than,by,38,SUPPORTS
than,has,28,SUPPORTS
than,on,17,SUPPORTS
than,for,28,SUPPORTS
than,at,23,SUPPORTS
than,is,51,SUPPORTS
than,climate,12,SUPPORTS
than,emissions,5,REFUTES
than,temperature,6,REFUTES
than,be,15,SUPPORTS
than,in,24,REFUTES
than,are,6,REFUTES
than,other,6,REFUTES
than,or,6,SUPPORTS
than,been,10,SUPPORTS
than,The,8,REFUTES
than,carbon,7,REFUTES
than,have,7,REFUTES
than,global,10,REFUTES
than,CO,14,SUPPORTS
than,since,11,SUPPORTS
than,2,18,SUPPORTS
than,surface,6,REFUTES
than,evidence,6,SUPPORTS
than,greenhouse,6,REFUTES
from,and,49,REFUTES
from,The,25,REFUTES
from,by,17,REFUTES
from,of,79,REFUTES
from,is,24,REFUTES
from,that,31,REFUTES
from,to,70,REFUTES
from,in,42,REFUTES
from,have,10,REFUTES
from,global,17,REFUTES
from,increased,16,REFUTES
from,emissions,23,REFUTES
from,level,16,SUPPORTS
from,sea,25,SUPPORTS
from,more,23,SUPPORTS
from,as,43,SUPPORTS
from,ice,34,SUPPORTS
from,with,35,SUPPORTS
from,has,32,SUPPORTS
from,a,97,SUPPORTS
from,carbon,43,SUPPORTS
from,be,15,SUPPORTS
from,climate,18,REFUTES
from,at,20,SUPPORTS
from,warming,34,SUPPORTS
from,or,7,REFUTES
from,gases,10,SUPPORTS
from,on,29,SUPPORTS
from,greenhouse,21,SUPPORTS
from,for,25,SUPPORTS
from,changes,5,REFUTES
from,such,11,SUPPORTS
from,surface,17,SUPPORTS
from,an,20,SUPPORTS
from,temperature,20,SUPPORTS
from,are,11,REFUTES
from,been,6,REFUTES
from,since,23,SUPPORTS
from,CO,25,SUPPORTS
from,2,27,SUPPORTS
from,evidence,6,SUPPORTS
from,average,6,REFUTES
level,to,59,SUPPORTS
level,sea,93,SUPPORTS
level,more,12,SUPPORTS
level,and,61,SUPPORTS
level,as,27,SUPPORTS
level,ice,27,SUPPORTS
level,with,15,SUPPORTS
level,by,33,SUPPORTS
level,of,74,SUPPORTS
level,has,14,SUPPORTS
level,a,39,SUPPORTS
level,in,37,SUPPORTS
