Source,Target,Weight,Label
gas,human,14,SUPPORTS
gas,due,11,SUPPORTS
gas,temperature,11,SUPPORTS
gas,global,24,SUPPORTS
gas,greenhouse,74,SUPPORTS
gas,increased,5,SUPPORTS
gas,emissions,25,SUPPORTS
gas,concentrations,10,SUPPORTS
gas,temperatures,7,SUPPORTS
gas,dioxide,8,SUPPORTS
gas,carbon,14,SUPPORTS
gas,warming,22,SUPPORTS
gas,climate,6,REFUTES
gas,ice,5,SUPPORTS
gas,fossil,8,SUPPORTS
gas,surface,5,SUPPORTS
gas,"atmosphere ,",12,SUPPORTS
gas,Earth 's,10,SUPPORTS
gas,increasing,7,SUPPORTS
dioxide,carbon,103,SUPPORTS
dioxide,increased,8,SUPPORTS
dioxide,fossil,5,REFUTES
dioxide,greenhouse,5,REFUTES
dioxide,concentrations,6,REFUTES
dioxide,atmospheric,7,SUPPORTS
dioxide,atmosphere,8,REFUTES
dioxide,warming,8,REFUTES
dioxide,per,12,SUPPORTS
dioxide,global,6,REFUTES
dioxide,surface,7,SUPPORTS
dioxide,increases,6,SUPPORTS
dioxide,cause,10,SUPPORTS
dioxide,emissions,5,REFUTES
dioxide,"methane ,",5,SUPPORTS
dioxide,Earth 's,13,SUPPORTS
dioxide,temperature,6,SUPPORTS
increase,CO,10,SUPPORTS
increase,global,21,SUPPORTS
increase,greenhouse,9,SUPPORTS
increase,2,15,SUPPORTS
increase,°C,5,REFUTES
increase,warming,7,REFUTES
increase,temperature,24,SUPPORTS
increase,climate,9,SUPPORTS
increase,increased,11,SUPPORTS
increase,surface,10,SUPPORTS
increase,human,5,REFUTES
increase,since,6,REFUTES
increase,increases,8,SUPPORTS
increase,atmospheric,12,SUPPORTS
increase,ice,11,SUPPORTS
increase,carbon,10,SUPPORTS
increase,rise,8,SUPPORTS
increase,evidence,5,SUPPORTS
increase,last,7,SUPPORTS
increase,fossil,5,REFUTES
increase,emissions,7,SUPPORTS
increase,changes,7,REFUTES
increase,melting,5,SUPPORTS
human,fossil,6,REFUTES
human,due,18,REFUTES
human,gases,19,REFUTES
human,carbon,5,REFUTES
human,greenhouse,23,REFUTES
human,concentrations,12,REFUTES
human,caused,22,SUPPORTS
human,changes,22,SUPPORTS
human,climate,35,SUPPORTS
human,change,17,SUPPORTS
human,since,15,SUPPORTS
human,increasing,10,SUPPORTS
human,evidence,21,SUPPORTS
human,increased,9,SUPPORTS
human,global,30,SUPPORTS
human,temperature,8,SUPPORTS
human,emissions,8,SUPPORTS
human,scientific,32,SUPPORTS
human,rise,9,SUPPORTS
human,atmosphere,18,SUPPORTS
human,cause,22,SUPPORTS
human,observed,10,REFUTES
human,warming,24,REFUTES
human,last,5,REFUTES
human,increases,6,SUPPORTS
human,land,7,SUPPORTS
human,CO,8,SUPPORTS
human,2,7,SUPPORTS
human,"atmosphere ,",7,SUPPORTS
due,gases,6,REFUTES
due,greenhouse,18,REFUTES
due,temperature,8,SUPPORTS
due,global,31,SUPPORTS
due,evidence,6,SUPPORTS
due,increased,10,SUPPORTS
due,emissions,14,SUPPORTS
due,ice,15,SUPPORTS
due,melting,8,SUPPORTS
due,change,7,REFUTES
due,caused,6,SUPPORTS
due,climate,14,REFUTES
due,warming,14,REFUTES
due,rise,9,SUPPORTS
due,changes,6,SUPPORTS
due,atmosphere,6,REFUTES
due,rising,5,REFUTES
due,since,5,REFUTES
due,CO,6,REFUTES
due,2,6,REFUTES
due,°C,5,REFUTES
level,sea,93,SUPPORTS
level,ice,27,SUPPORTS
level,melting,17,SUPPORTS
level,global,33,SUPPORTS
level,per,9,SUPPORTS
level,average,9,SUPPORTS
level,emissions,10,SUPPORTS
level,rise,42,SUPPORTS
level,climate,6,REFUTES
level,warming,5,REFUTES
level,increases,5,SUPPORTS
level,heat,5,SUPPORTS
level,increased,6,SUPPORTS
fossil,global,11,REFUTES
fossil,increased,6,REFUTES
fossil,emissions,9,REFUTES
fossil,gases,5,REFUTES
fossil,carbon,7,REFUTES
fossil,greenhouse,6,REFUTES
fossil,concentrations,9,SUPPORTS
fossil,warming,5,REFUTES
fossil,changes,7,SUPPORTS
fossil,land,8,SUPPORTS
fossil,CO,5,SUPPORTS
fossil,climate,7,SUPPORTS
fossil,2,5,SUPPORTS
fossil,cause,5,SUPPORTS
fossil,increasing,8,SUPPORTS
decades,surface,20,SUPPORTS
decades,caused,18,SUPPORTS
decades,scientific,19,SUPPORTS
decades,global,22,SUPPORTS
decades,emissions,18,SUPPORTS
decades,greenhouse,20,SUPPORTS
decades,temperatures,18,SUPPORTS
decades,increased,18,SUPPORTS
decades,climate,10,SUPPORTS
decades,warming,10,SUPPORTS
decades,observed,8,SUPPORTS
decades,since,9,SUPPORTS
decades,changes,11,SUPPORTS
decades,sea,8,SUPPORTS
decades,atmospheric,5,SUPPORTS
"atmosphere ,",increased,8,REFUTES
"atmosphere ,",greenhouse,18,SUPPORTS
"atmosphere ,",nitrous,5,SUPPORTS
"atmosphere ,",warming,12,SUPPORTS
"atmosphere ,",increasing,7,SUPPORTS
"atmosphere ,",concentrations,7,SUPPORTS
sea,ice,78,SUPPORTS
